role,count
features sub-editor,1
topical content & events editor,1
junior beauty writer,1
reporter required for leading monthly b2b magazine,1
beijing-based china correspondent,1
senior financial journalist,1
financial news commentary journalist,1
head of editorial research,1
freelance sub-editor / page designer,1
chief sub-editor,6
senior consumer affairs journalist,1
features writer/senior features writer,1
snapchat editor,1
head of communication,1
layout copy editor,1
emea enterprise editor,1
internal communications manager,2
picture director,1
video news editor,2
live news reporter,1
content manager and features writer,1
special projects editor,3
european markets reporter,1
news journalist / editor,1
german news writer,1
senior online sales/account handler,1
senior news producer,1
chief creative writer and senior motoring writer,1
awards sponsorship sales manager,1
deputy picture editor,2
head of trending content,2
travel writers / researchers / reviewer,1
technology online editor / social media editor,2
tv & radio associate producers / segment producer,1
consumer affairs journalist,1
arts and lifestyle writer,1
digital editor,18
senior nurse editor,2
news/feature writer,1
industry reporter,1
editor/deputy editor,2
assistant director / producer,2
editorial producer,1
digital production editor,4
drinks editor / reporter,1
luxury goods / fashion reporter,1
editorial assistant/junior journalist,1
deputy chief copy editor,1
researcher/writer,2
technical copywriter,1
junior financial reporter,2
marketing senior account manager,1
dutch media executive,1
temp news reporter,1
content editor/sub editor,1
graduate / staff writer,1
designer,12
android developer,1
online and social media editor,1
senior editor – foodnavigator.com,1
online sub-editor,1
research editor,1
tv features writer,1
europe m&a reporter,2
entertainment reporter,1
social media fellow,1
photo editor,1
special content & live journalism,1
head of commercial content,1
head of fashion & product,1
editor for english-speaking audience,1
research analyst,1
acting fashion news editor,1
sports editor,2
travel copywriter,1
news editor specialist,1
deadline journalist / remote,1
assistant foreign news editor,1
production sub-editor,1
video researcher / producer,2
shopping editor,1
editorial assistant & team assistant,1
trending video reporter,1
uk books editor,1
deputy editor- category report,1
sub-editor / writer,1
sports reporter,3
german editor-in-chief,1
senior foreign exchange correspondent,1
senior reporter / writer,1
travel writer,1
digital content manager,2
brussels correspondent,1
freelance social media assistant,1
general election reporter,1
business editor / business reporter,1
reporter,176
asset-backed alert,2
content editor / marketing account manager -agency,1
mawsonia publicationsv,1
motion graphics producer,1
editorial assistant intern,1
(senior) researcher/writer (telecoms),1
chief reporter/deputy head of content,1
feature writer,5
editor-in-charge,2
southern california public radio / kpcc,1
digital and print reporter,1
commercial sub-editor,2
video reporter,3
features intern,2
snapchat production editor,2
comment / news editor,1
trainee/junior reporter,1
content producer,4
editor / sub editor,2
chief uk / european correspondent,1
fashion intern,2
creative director,5
news editor / fashion director,1
head of digital content & engagement,1
the timesme new,1
senior seo manager,1
correspondent,1
web producer,2
editor / content producer,1
news and digital editor,1
city reporter,3
fashion director,3
irs reporter,1
science writer,2
freelance news and features journalist,1
private equity reporter,1
picture editor,8
data journalist,8
structured finance reporter,1
journalist vacancie,1
healthcare reporter,2
digital food journalist,1
real estate editor,1
video content manager,1
entertainment features writer,1
investigative reporter,2
content and social media writer,1
editorial compliance executive,2
producer/video editor,1
senior production editor,2
chief eu correspondent,1
freelance opportunitie,1
news & features writer,2
chicago health care reporter,1
emea production editor,1
print journalist,4
content lead,1
roving reporter,1
product manager,1
news editor – legal busine,1
breaking news reporter,2
digital & lifestyle editor,1
breaking news editor,2
deputy graphics editor,1
freelance editorial designer,1
commercial videographer,1
online community content curator,2
inside sales representative,2
contributing editor,2
senior multimedia news reporter,1
homepage editor / weekend editor,1
junior digital writer,1
client insights manager,1
regulation reporter,2
ecommerce researcher & curator,1
recruitment assistant,1
staff writer / sub-editor,1
senior copy editor,1
content and creative manager,1
assistant digital sub-editor,1
europe editor,1
junior fashion editor,1
assistant editor/feature writer/marketeer,1
bookings editor,1
features writer- 911,1
junior editor,2
sport social media editor,2
regional network director,2
medical writer,1
world news editor,1
researcher / writer,1
infraamerica,1
online sports news editor,1
deputy director of communication,2
senior energy reporter,1
senior fashion news and features editor,1
entertainment editor,1
editorial manager,1
journaliste francophone,1
junior journalist and content writer,1
market reporter,6
online news reporter,1
digital engagement editor,1
staff writer-products and style,1
advance content writer,3
research centre manager,1
picture assistant,1
science/medical journalist,1
managing editor & part-time deputy managing editor,1
deputy science editor,1
time outea,1
clinical reporter,2
digital writer,2
freelance graphic designer,1
media and communications manager,2
online features writer,1
bookings assistant,1
assistant editor with potential to move up to deputy fast,1
assistant beauty editor,1
travel social media content editor,1
trainee finanical journalist,1
news assistant,2
editor – b2b event industry portfolio,1
trainee journalist,1
head of media and communication,1
advertising manager/publisher,1
newsletter contributor / reporter,2
in-house journalist,1
online fashion and beauty editor,1
assistant editor / writer,1
credit reporter,2
technology analyst,2
technology marketing communications internship,1
high yield bond reporter,1
experienced copy editor,4
deputy video editor,1
super shopper & customer champion,1
freelance subeditor,1
french language tech writer,1
competition reporter,1
chief sub and production editor,1
junior news reporter,2
showbusiness reporter,1
news producer,5
publishing executive,1
politics editor / dc,1
west coast correspondent,1
brand journalist for digital agency,1
health policy reporter,1
media and communications assistant,1
content strategist,2
the times & the sunday timesl,1
director of graphic,1
artworking assistant,1
digital content/community internship,1
trainee financial journalist,2
creative lead,1
content licensing executive,1
deputy fashion editor,1
senior writer & editor,1
specialist production editor,1
weekend flexible writer,2
advertising consultant,1
reporter / editor,1
head of editorial,1
general reporter,1
writer & content producer,1
freelance writer,6
tech,1
editorial coordinator,1
researchers/writer,2
desk editor,4
student loan hero,1
creative solutions designer,2
us correspondent,3
homepages editor,1
digital editorial consultant,1
reuters tv,1
interview producer,1
business reporter,5
product specialist,2
specialist,1
reporter / producer,2
homepage producer,1
foreign editor,1
digital publisher,3
managing sub-editor,1
personal finance reporter,2
weekend writer,1
editorial assistant,54
entertainment research internship,1
digital content journalist,1
content marketing campaign manager,1
associate editor,14
trainee journalist x 3,1
associate editor / nj / dc / ca / il,1
junior features writer,1
careers editor,1
commissioning editor - property,1
tourism and broads correspondent,1
forward features & media requests executive,1
news sub-editor,1
consumer writer,3
multimedia manager,2
media and digital media officer,1
deputy news editor,8
layout sub-editor,2
german language speed reporter,1
assistant news editor,8
london bureau chief,1
news and features editor,1
technology news and social media writer,1
tv correspondent,2
food and drink reporter,3
food & drink reporter,2
digital content editor / journalist,1
arts and culture editor,1
bionews science editor,1
news reporter,35
regulars editor,1
production manager,3
middleweight designer,2
social media content production specialist,2
digital designer,3
managing editor,14
sport picture editor / researcher,1
international online news editor,1
social media editor,3
news editor & sub editor,1
associate publisher / advertising director,1
online producer,2
cnn digital news intern,1
multimedia senior reporter,1
digital commercial editor,2
engagement editor,1
video editor,4
digital reporter / producer,1
pharmaceutical journalealth policy,1
staff videographer / photographer,1
deputy managing editor,3
global film editor,1
media researcher / executive,1
portal editor,1
deputy night picture editor,1
beauty director,1
account director/associate,1
programme editor,1
writer,7
temporary artworking assistant,1
deputy editor / editor,1
senior sub-editor,2
associate editor,1
senior news writer,5
multimedia trainee reporter,2
web content editor,2
experienced news sub-editor,4
news editor,44
digital and tv news producer,1
features producer,1
junior production designer,1
online features & social media editor,1
commercial real estate reporter,2
digital content and audience manager,1
online video journalist,1
newsroom journalist,3
economics correspondent,1
digital news correspondent,1
online & social editor,1
marketing senior account executive,1
chief reporter / news editor,1
senior researcher/writer,1
public relations officer,1
financial / business analyst,1
editorial director,1
designer / asset developer,1
food and drink reporter – the morning advertiser,1
mt newswire,3
director and professor of practice,1
editor / managing editor,1
content & projects manager,1
video-first sports journalist qpr,1
legal affairs reporter,2
vogue daily editor,1
deputy art director,4
snapchat content editor,1
senior feature writer,2
research fellow,1
digital journalist / assistant digital editor,1
social producer,3
digital & tv news producer,1
charting assistant,1
media & communications officer,1
digital / deputy editor,1
b2b editor,2
assistant social media editor,2
trainee reporters x 3,1
employment law editor,2
freelance sub-editor,5
1 year contract,2
content assistant – world’s 50 best restaurant,1
proofreader / copy editor,1
video producer,4
fiction designer,1
communications manager,1
data strategist,1
head of digital content and engagement,1
football social video producer,1
news editor / senior reporter,1
associate news editor,1
live journalism & special content,1
junior writer,1
freelance digital production journalist,1
editorial associate,1
financial journalist,9
senior or trainee reporter,3
freelance beauty trend writer,1
acting commissioning editor,1
freelance picture researcher,2
the time,3
sub editor,8
senior product developer,1
copy & web editor,1
staff writer- how it work,1
editor / researcher / community management specialist,1
production journalist,1
business editor,8
international business journalist,2
u.s. news & world report,1
freelance book designer,1
syndication sales executive,1
junior reporter,9
writer / sub-editor,1
senior analyst / researcher,1
digital reporters / story builder,1
bureau chief,2
head of digital publishing,1
assistant video editor,1
trade editor,3
social campaign manager,1
editor/writer,1
travel assistant content editor destination,1
copywriter,8
brexit correspondent,1
design & interiors editor,1
junior video programmer,2
technical seo associate,1
fashion content editor / project manager -agency,1
technology and life writer,2
business night reporter,1
freelance web assistant / production journalist,1
leveraged finance reporter,2
german editor,1
(senior) researcher/writer,3
trends and advance content writer,2
project manager / script writer,1
group business editor,1
lifestyle and fashion stylist,1
beauty assistant,1
trainee multimedia reporter,4
business editor and journalist,1
native content writer,2
chief operating officer,1
part-time editor,1
writer / researcher,1
education editor,1
what's on writer,4
tech editor,1
senior newsletter editor,1
bioworld,1
tablet editor,1
marketing account executive,1
health reporter,2
video content writer / editor,1
digital marketing and communications executive,1
freelance news writer,1
trends analyst,2
consumer journalist,3
north american reporter,1
infralatinamerica & infraamerica,2
senior multimedia reporter,1
senior video journalist,1
digital news editor,1
telegraph media groupc,2
energy corporates correspondent,1
content commercialisation editor,2
story editor,1
communications officer,2
legal affairs writer,2
digital & lifestyle writer,1
digital content director,1
city centre beat reporter,1
web journalist,2
staff writer,31
research writer & commissioning editor,1
copy editor / journalist,1
deputy editor,58
fashion & beauty intern,1
digital marketing & social media executive,1
marketing executive,1
highland,1
copywriter and editor,1
scottish political reporter,1
m&a nordics correspondent,2
senior copywriter / journalist,1
communications and stories officer,1
energy and/or finance experience preferred / tx,1
digital content writer,3
video executive producer,1
online editor,5
multi-media tv producer & editing journalist,1
freelance video producer,2
customer research analyst,1
features technology editor,1
writer / editor,3
infographic artist,1
asia editor,2
trainee and senior reporter,1
business writer / editor,1
emerging media visuals producer,1
graphics editor,4
chief news editor,1
senior graphic designer,1
audience content editor,1
picture researcher,4
sports sub editor/writer,1
marketing internship,1
politico pro,1
freelance journalist,2
commercial writer,1
junior reporter / editorial assistant,1
sports writer,3
event project manager,1
account executive,1
digital content editor – burton,1
editorial rights & syndication manager,1
thomson reuterso,1
editor – travel & leisure division,1
agenda writer,2
sub-editor / reporter,1
uk research team leader,1
speed desk reporter,1
art intern,2
news & social media editor,1
web journalist for the life programme,1
supervising producer,1
denmark correspondent,1
beauty writer,2
presenter for programming and new,1
senior writer / editor,2
trainee news reporter,7
overnight news and tv editor,1
digital content / social media coordinator,1
senior reporter/chief reporter,1
junior content licensing executive,1
m&a correspondent,1
head of picture,1
social media sports editor,1
visiting ferris professor of journalism / mcgraw professor of writing,1
art editor - lifestyle hub,1
reporter/sub-editor,1
wirtschaftsredakteur unternehmen,1
broadcast journalist,7
b2b deputy editor,1
head of digital subscription,1
commercial editor,4
content director,1
director of centre for investigative journalism,1
freelance correspondent,1
press photographer,2
investment writer,2
ecommerce copywriter,1
content editor / sub-editor,1
media manager,1
middle east producer,1
online journalist,2
digital artworker / picture editor,1
community moderator,3
digital and social writer,3
crime correspondent,1
political reporter,2
senior reporter / reporter,2
junior audience analyst associate,1
digital reporter,3
content creator,1
video-led football reporter,1
mideast deputy bureau chief,1
publisher,1
legal content writer,1
digital content executive,2
out of hours reporter,1
events designer,1
freelance digital content editor,1
writing course,3
assistant picture editor,1
editorial assistant / business journalist,1
journalism lead,1
egypt / north africa reporter,1
beauty editor,1
social community executive,2
senior investigative journalist,1
media services operations manager,1
look magazine,1
senior editor / writer,1
cybersecurity / defense tech reporter,1
features editor,16
editorial executive,1
digital producer,8
production controller,2
junior online writer,1
copy editor / writer,1
digital journalist – new launch food innovation service,1
europe culture editor,1
deputy features editor,1
brexit editor,1
digital content and production journalist,1
homepage editor,6
digital reporter/producer,2
newsletter editor / news reporter,1
editorial controller,1
freelance editor,2
home news editor,2
digital editor – new launch food innovation service,1
futureistory magazine,1
senior staff writer,5
personal finance writer,1
live tv reporter,2
creative magazine editor,1
bi-lingual,1
us editor,1
ecommerce editor,1
finance / economics reporter,1
senior communications officer,1
decorating editor,1
energy reporter,2
fashion and beauty writer,1
event account executive,1
producer,4
nbc news digital,1
snapchat senior content editor,1
chief ecb correspondent,1
chief and trainee reporter,1
content manager,4
online & social media editor,1
summer internship,1
junior financial journalist,3
graduate reporter,1
senior designer,3
money writer,2
remote sub-editor/ writer,1
graduate trainee reporter,1
european politics and finance correspondent,1
assistant planning editor,1
financial news reporter,3
features writer / editor,1
the times and the sunday time,1
tv & digital news reporter,1
head of audience engagement,1
editor,118
junior editor/copywriter,1
travel news reporter,1
freelance financial writer,1
online tv & ents journalist,2
press secretary,1
the bond buyer,1
credit reporter – finance,1
computing editor,2
football correspondent,1
client sales executive,1
audience development executive,1
g10 foreign exchange and economics reporter,1
international managing editor,1
trainee reporter,46
multimedia journalist,13
head of publications and content,1
junior social media editor,1
editor- 3d artist,1
team manager,2
data analyst,1
senior broadcast journalist,2
digital staff writer,2
multi-media journalist,1
chief sub / production editor,2
paid editorial internship,1
channel director,2
freelance editor / online editor,1
editorial internship,3
time inc.,1
digital food journalist- new product launch,1
insurance reporter,2
junior sub-editor / writer,1
art department assistant,1
media research intern,1
chief reporter,12
entertainments & feature writer,1
digital motors editor,1
chemical markets reporter,1
politics reporter,1
style writer,2
technology reporter,5
communications co-ordinator,2
senior trending video reporter,1
senior reporter – sub investment – london,1
experienced editor,1
online & news editor,1
commissioning editor / writer,1
junior market reporter / broadcaster,1
senior news reporter,3
the mail on sundayealth,1
copy and content officer,1
trending content journalist,2
regional head of communication,1
tech & entrepreneurship editor,1
multimedia journalist x2,1
creative solutions art director,1
junior copywriter,1
intern,6
editorial assistant / junior writer,1
football digital content internship,1
lng deputy editor,1
tech reporter,2
insight editor,1
motion graphics designer / video editor,1
features writer / senior features writer,1
output editor,1
magazine co-editor,2
going out journalist,1
digital content producer,1
content executive,4
communications and digital marketing executive,1
online and community editor,1
digital night editor,1
trainee story editor,1
football journalist,1
business features writer,1
editorial writer / editor,1
capital markets associate / financial journalist,1
fashion news & features editor,1
nfl,1
junior showbusiness reporter,1
daily us economic and market commentary – new york or london,1
digital content trainee,1
mobile editor,2
head of asia content,2
features executive,1
inbound sales executive,1
reporter at iisearches international,1
marketing communications executive,1
audience engagement editor,1
femail writer,1
columnist- reuters breakingview,1
northern editor,2
deputy chief sub-editor,5
media relations manager,1
the wall street journal / dow jones newswiresc,1
head of audience growth,1
digital,1
deputy breaking news editor,1
senior business correspondent,1
graduate designer,1
best buy drug,2
night editor,2
digital sports journalist,1
senior digital producer,2
digital consumer affairs reporter,1
junior digital editor / creative,1
product editor,1
deputy digital editor,2
