date,count
2017-02-17,26
2017-07-07,290
2017-08-18,75
2017-06-16,23
2017-02-24,18
2017-06-23,40
2017-05-19,87
2017-02-10,318
2017-03-24,6
2017-04-21,10
2017-04-28,30
2017-03-03,4
2017-04-14,19
2017-07-28,24
2017-07-14,19
2017-05-05,104
2017-03-17,40
2017-07-21,2
2017-04-07,263
2017-03-10,273
2017-02-02,29
2017-08-11,62
2017-03-31,21
2017-06-09,9
2017-02-03,59
2017-06-02,8
2017-08-04,280
2017-05-12,11
2017-06-30,79
2017-05-26,319
