date,count
2017-04-28,70
2017-06-23,50
2017-05-19,75
2017-02-10,73
2017-03-24,62
2017-06-30,45
2017-07-14,45
2017-07-21,48
2017-08-25,72
2017-08-18,71
2017-03-17,65
2017-03-03,56
2017-06-02,73
2017-05-26,70
2017-04-14,80
2017-04-07,70
2017-04-21,62
2017-07-28,63
2017-06-16,55
2017-07-07,55
2017-02-24,63
2017-09-01,76
2017-08-11,69
2017-02-03,69
2017-05-05,55
2017-03-31,63
2017-05-12,58
2017-02-02,69
2017-03-10,61
2017-02-17,56
2017-06-09,66
2017-08-04,66
